,id_start,id_end,distance,moto,car,rv,bus,truck,start_day,end_day,start_time,end_time
23,1001400,1001488,264.5,169.28,253.92,317.4,465.52,761.76,Wednesday,Sunday,18:00:00,23:59:59
23,1001400,1001488,264.5,148.12,222.18,277.72,407.33,666.54,Saturday,Sunday,00:00:00,23:59:59
24,1001400,1004356,268.5,171.84,257.76,322.2,472.56,773.28,Monday,Friday,00:00:00,10:00:00
24,1001400,1004356,268.5,257.76,386.64,483.3,708.84,1159.92,Thuesday,Saturday,10:00:00,18:00:00
24,1001400,1004356,268.5,171.84,257.76,322.2,472.56,773.28,Wednesday,Sunday,18:00:00,23:59:59
24,1001400,1004356,268.5,150.36,225.54,281.92,413.49,676.62,Saturday,Sunday,00:00:00,23:59:59
25,1001400,1004354,270.5,173.12,259.68,324.6,476.08,779.04,Monday,Friday,00:00:00,10:00:00
25,1001400,1004354,270.5,259.68,389.52,486.9,714.12,1168.56,Thuesday,Saturday,10:00:00,18:00:00
25,1001400,1004354,270.5,173.12,259.68,324.6,476.08,779.04,Wednesday,Sunday,18:00:00,23:59:59
25,1001400,1004354,270.5,151.48,227.22,284.02,416.57,681.66,Saturday,Sunday,00:00:00,23:59:59
26,1001400,1004355,272.5,174.4,261.6,327.0,479.6,784.8,Monday,Friday,00:00:00,10:00:00
26,1001400,1004355,272.5,261.6,392.4,490.5,719.4,1177.2,Thuesday,Saturday,10:00:00,18:00:00
26,1001400,1004355,272.5,174.4,261.6,327.0,479.6,784.8,Wednesday,Sunday,18:00:00,23:59:59
26,1001400,1004355,272.5,152.6,228.9,286.12,419.65,686.7,Saturday,Sunday,00:00:00,23:59:59
27,1001400,1001444,273.2,174.85,262.27,327.84,480.83,786.82,Monday,Friday,00:00:00,10:00:00
27,1001400,1001444,273.2,262.27,393.41,491.76,721.25,1180.22,Thuesday,Saturday,10:00:00,18:00:00
27,1001400,1001444,273.2,174.85,262.27,327.84,480.83,786.82,Wednesday,Sunday,18:00:00,23:59:59
27,1001400,1001444,273.2,152.99,229.49,286.86,420.73,688.46,Saturday,Sunday,00:00:00,23:59:59
28,1001400,1001446,279.8,179.07,268.61,335.76,492.45,805.82,Monday,Friday,00:00:00,10:00:00
28,1001400,1001446,279.8,268.61,402.91,503.64,738.67,1208.74,Thuesday,Saturday,10:00:00,18:00:00
28,1001400,1001446,279.8,179.07,268.61,335.76,492.45,805.82,Wednesday,Sunday,18:00:00,23:59:59
28,1001400,1001446,279.8,156.69,235.03,293.79,430.89,705.1,Saturday,Sunday,00:00:00,23:59:59
29,1001400,1001448,289.40000000000003,185.22,277.82,347.28,509.34,833.47,Monday,Friday,00:00:00,10:00:00
29,1001400,1001448,289.40000000000003,277.82,416.74,520.92,764.02,1250.21,Thuesday,Saturday,10:00:00,18:00:00
29,1001400,1001448,289.40000000000003,185.22,277.82,347.28,509.34,833.47,Wednesday,Sunday,18:00:00,23:59:59
29,1001400,1001448,289.40000000000003,162.06,243.1,303.87,445.68,729.29,Saturday,Sunday,00:00:00,23:59:59
30,1001400,1001450,305.1,195.26,292.9,366.12,536.98,878.69,Monday,Friday,00:00:00,10:00:00
30,1001400,1001450,305.1,292.9,439.34,549.18,805.46,1318.03,Thuesday,Saturday,10:00:00,18:00:00
30,1001400,1001450,305.1,195.26,292.9,366.12,536.98,878.69,Wednesday,Sunday,18:00:00,23:59:59
30,1001400,1001450,305.1,170.86,256.28,320.36,469.85,768.85,Saturday,Sunday,00:00:00,23:59:59
31,1001400,1001452,315.0,201.6,302.4,378.0,554.4,907.2,Monday,Friday,00:00:00,10:00:00
31,1001400,1001452,315.0,302.4,453.6,567.0,831.6,1360.8,Thuesday,Saturday,10:00:00,18:00:00
31,1001400,1001452,315.0,201.6,302.4,378.0,554.4,907.2,Wednesday,Sunday,18:00:00,23:59:59
31,1001400,1001452,315.0,176.4,264.6,330.75,485.1,793.8,Saturday,Sunday,00:00:00,23:59:59
32,1001400,1001454,326.3,208.83,313.25,391.56,574.29,939.74,Monday,Friday,00:00:00,10:00:00
32,1001400,1001454,326.3,313.25,469.87,587.34,861.43,1409.62,Thuesday,Saturday,10:00:00,18:00:00
32,1001400,1001454,326.3,208.83,313.25,391.56,574.29,939.74,Wednesday,Sunday,18:00:00,23:59:59
32,1001400,1001454,326.3,182.73,274.09,342.62,502.5,822.28,Saturday,Sunday,00:00:00,23:59:59
33,1001400,1001456,339.90000000000003,217.54,326.3,407.88,598.22,978.91,Monday,Friday,00:00:00,10:00:00
33,1001400,1001456,339.90000000000003,326.3,489.46,611.82,897.34,1468.37,Thuesday,Saturday,10:00:00,18:00:00
33,1001400,1001456,339.90000000000003,217.54,326.3,407.88,598.22,978.91,Wednesday,Sunday,18:00:00,23:59:59
33,1001400,1001456,339.90000000000003,190.34,285.52,356.89,523.45,856.55,Saturday,Sunday,00:00:00,23:59:59
34,1001400,1001458,348.8,223.23,334.85,418.56,613.89,1004.54,Monday,Friday,00:00:00,10:00:00
34,1001400,1001458,348.8,334.85,502.27,627.84,920.83,1506.82,Thuesday,Saturday,10:00:00,18:00:00
34,1001400,1001458,348.8,223.23,334.85,418.56,613.89,1004.54,Wednesday,Sunday,18:00:00,23:59:59
34,1001400,1001458,348.8,195.33,292.99,366.24,537.15,878.98,Saturday,Sunday,00:00:00,23:59:59
35,1001400,1001460,353.90000000000003,226.5,339.74,424.68,622.86,1019.23,Monday,Friday,00:00:00,10:00:00
35,1001400,1001460,353.90000000000003,339.74,509.62,637.02,934.3,1528.85,Thuesday,Saturday,10:00:00,18:00:00
35,1001400,1001460,353.90000000000003,226.5,339.74,424.68,622.86,1019.23,Wednesday,Sunday,18:00:00,23:59:59
35,1001400,1001460,353.90000000000003,198.18,297.28,371.59,545.01,891.83,Saturday,Sunday,00:00:00,23:59:59
36,1001400,1001460,353.90000000000003,226.5,339.74,424.68,622.86,1019.23,Monday,Friday,00:00:00,10:00:00
36,1001400,1001460,353.90000000000003,339.74,509.62,637.02,934.3,1528.85,Thuesday,Saturday,10:00:00,18:00:00
36,1001400,1001460,353.90000000000003,226.5,339.74,424.68,622.86,1019.23,Wednesday,Sunday,18:00:00,23:59:59
36,1001400,1001460,353.90000000000003,198.18,297.28,371.59,545.01,891.83,Saturday,Sunday,00:00:00,23:59:59
37,1001400,1001461,366.70000000000005,234.69,352.03,440.04,645.39,1056.1,Monday,Friday,00:00:00,10:00:00
37,1001400,1001461,366.70000000000005,352.03,528.05,660.06,968.09,1584.14,Thuesday,Saturday,10:00:00,18:00:00
37,1001400,1001461,366.70000000000005,234.69,352.03,440.04,645.39,1056.1,Wednesday,Sunday,18:00:00,23:59:59
37,1001400,1001461,366.70000000000005,205.35,308.03,385.04,564.72,924.08,Saturday,Sunday,00:00:00,23:59:59
38,1001400,1001462,371.80000000000007,237.95,356.93,446.16,654.37,1070.78,Monday,Friday,00:00:00,10:00:00
38,1001400,1001462,371.80000000000007,356.93,535.39,669.24,981.55,1606.18,Thuesday,Saturday,10:00:00,18:00:00
38,1001400,1001462,371.80000000000007,237.95,356.93,446.16,654.37,1070.78,Wednesday,Sunday,18:00:00,23:59:59
38,1001400,1001462,371.80000000000007,208.21,312.31,390.39,572.57,936.94,Saturday,Sunday,00:00:00,23:59:59
39,1001400,1001464,398.50000000000006,255.04,382.56,478.2,701.36,1147.68,Monday,Friday,00:00:00,10:00:00
39,1001400,1001464,398.50000000000006,382.56,573.84,717.3,1052.04,1721.52,Thuesday,Saturday,10:00:00,18:00:00
39,1001400,1001464,398.50000000000006,255.04,382.56,478.2,701.36,1147.68,Wednesday,Sunday,18:00:00,23:59:59
39,1001400,1001464,398.50000000000006,223.16,334.74,418.43,613.69,1004.22,Saturday,Sunday,00:00:00,23:59:59
40,1001400,1001466,407.00000000000006,260.48,390.72,488.4,716.32,1172.16,Monday,Friday,00:00:00,10:00:00
40,1001400,1001466,407.00000000000006,390.72,586.08,732.6,1074.48,1758.24,Thuesday,Saturday,10:00:00,18:00:00
40,1001400,1001466,407.00000000000006,260.48,390.72,488.4,716.32,1172.16,Wednesday,Sunday,18:00:00,23:59:59
40,1001400,1001466,407.00000000000006,227.92,341.88,427.35,626.78,1025.64,Saturday,Sunday,00:00:00,23:59:59
41,1001400,1001468,417.70000000000005,267.33,400.99,501.24,735.15,1202.98,Monday,Friday,00:00:00,10:00:00
41,1001400,1001468,417.70000000000005,400.99,601.49,751.86,1102.73,1804.46,Thuesday,Saturday,10:00:00,18:00:00
41,1001400,1001468,417.70000000000005,267.33,400.99,501.24,735.15,1202.98,Wednesday,Sunday,18:00:00,23:59:59
41,1001400,1001468,417.70000000000005,233.91,350.87,438.59,643.26,1052.6,Saturday,Sunday,00:00:00,23:59:59
42,1001400,1001470,428.30000000000007,274.11,411.17,513.96,753.81,1233.5,Monday,Friday,00:00:00,10:00:00
42,1001400,1001470,428.30000000000007,411.17,616.75,770.94,1130.71,1850.26,Thuesday,Saturday,10:00:00,18:00:00
42,1001400,1001470,428.30000000000007,274.11,411.17,513.96,753.81,1233.5,Wednesday,Sunday,18:00:00,23:59:59
42,1001400,1001470,428.30000000000007,239.85,359.77,449.71,659.58,1079.32,Saturday,Sunday,00:00:00,23:59:59
43,1001400,1001437,0.0,0.0,0.0,0.0,0.0,0.0,Monday,Friday,00:00:00,10:00:00
43,1001400,1001437,0.0,0.0,0.0,0.0,0.0,0.0,Thuesday,Saturday,10:00:00,18:00:00
43,1001400,1001437,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,Sunday,18:00:00,23:59:59
43,1001400,1001437,0.0,0.0,0.0,0.0,0.0,0.0,Saturday,Sunday,00:00:00,23:59:59
44,1001402,1001400,9.7,6.21,9.31,11.64,17.07,27.94,Monday,Friday,00:00:00,10:00:00
44,1001402,1001400,9.7,9.31,13.97,17.46,25.61,41.9,Thuesday,Saturday,10:00:00,18:00:00
44,1001402,1001400,9.7,6.21,9.31,11.64,17.07,27.94,Wednesday,Sunday,18:00:00,23:59:59
44,1001402,1001400,9.7,5.43,8.15,10.18,14.94,24.44,Saturday,Sunday,00:00:00,23:59:59
45,1001402,1001404,20.2,12.93,19.39,24.24,35.55,58.18,Monday,Friday,00:00:00,10:00:00
45,1001402,1001404,20.2,19.39,29.09,36.36,53.33,87.26,Thuesday,Saturday,10:00:00,18:00:00
45,1001402,1001404,20.2,12.93,19.39,24.24,35.55,58.18,Wednesday,Sunday,18:00:00,23:59:59
45,1001402,1001404,20.2,11.31,16.97,21.21,31.11,50.9,Saturday,Sunday,00:00:00,23:59:59
46,1001402,1001406,36.2,23.17,34.75,43.44,63.71,104.26,Monday,Friday,00:00:00,10:00:00
46,1001402,1001406,36.2,34.75,52.13,65.16,95.57,156.38,Thuesday,Saturday,10:00:00,18:00:00
46,1001402,1001406,36.2,23.17,34.75,43.44,63.71,104.26,Wednesday,Sunday,18:00:00,23:59:59
46,1001402,1001406,36.2,20.27,30.41,38.01,55.75,91.22,Saturday,Sunday,00:00:00,23:59:59
47,1001402,1001408,57.900000000000006,37.06,55.58,69.48,101.9,166.75,Monday,Friday,00:00:00,10:00:00
47,1001402,1001408,57.900000000000006,55.58,83.38,104.22,152.86,250.13,Thuesday,Saturday,10:00:00,18:00:00
47,1001402,1001408,57.900000000000006,37.06,55.58,69.48,101.9,166.75,Wednesday,Sunday,18:00:00,23:59:59
47,1001402,1001408,57.900000000000006,32.42,48.64,60.8,89.17,145.91,Saturday,Sunday,00:00:00,23:59:59
48,1001402,1001410,69.0,44.16,66.24,82.8,121.44,198.72,Monday,Friday,00:00:00,10:00:00
48,1001402,1001410,69.0,66.24,99.36,124.2,182.16,298.08,Thuesday,Saturday,10:00:00,18:00:00
48,1001402,1001410,69.0,44.16,66.24,82.8,121.44,198.72,Wednesday,Sunday,18:00:00,23:59:59
48,1001402,1001410,69.0,38.64,57.96,72.45,106.26,173.88,Saturday,Sunday,00:00:00,23:59:59
49,1001402,1001412,84.6,54.14,81.22,101.52,148.9,243.65,Monday,Friday,00:00:00,10:00:00
49,1001402,1001412,84.6,81.22,121.82,152.28,223.34,365.47,Thuesday,Saturday,10:00:00,18:00:00
49,1001402,1001412,84.6,54.14,81.22,101.52,148.9,243.65,Wednesday,Sunday,18:00:00,23:59:59
49,1001402,1001412,84.6,47.38,71.06,88.83,130.28,213.19,Saturday,Sunday,00:00:00,23:59:59
50,1001402,1001414,102.8,65.79,98.69,123.36,180.93,296.06,Monday,Friday,00:00:00,10:00:00
50,1001402,1001414,102.8,98.69,148.03,185.04,271.39,444.1,Thuesday,Saturday,10:00:00,18:00:00
50,1001402,1001414,102.8,65.79,98.69,123.36,180.93,296.06,Wednesday,Sunday,18:00:00,23:59:59
50,1001402,1001414,102.8,57.57,86.35,107.94,158.31,259.06,Saturday,Sunday,00:00:00,23:59:59
51,1001402,1001416,116.0,74.24,111.36,139.2,204.16,334.08,Monday,Friday,00:00:00,10:00:00
51,1001402,1001416,116.0,111.36,167.04,208.8,306.24,501.12,Thuesday,Saturday,10:00:00,18:00:00
51,1001402,1001416,116.0,74.24,111.36,139.2,204.16,334.08,Wednesday,Sunday,18:00:00,23:59:59
51,1001402,1001416,116.0,64.96,97.44,121.8,178.64,292.32,Saturday,Sunday,00:00:00,23:59:59
52,1001402,1001418,129.6,82.94,124.42,155.52,228.1,373.25,Monday,Friday,00:00:00,10:00:00
52,1001402,1001418,129.6,124.42,186.62,233.28,342.14,559.87,Thuesday,Saturday,10:00:00,18:00:00
52,1001402,1001418,129.6,82.94,124.42,155.52,228.1,373.25,Wednesday,Sunday,18:00:00,23:59:59
52,1001402,1001418,129.6,72.58,108.86,136.08,199.58,326.59,Saturday,Sunday,00:00:00,23:59:59
53,1001402,1001420,142.5,91.2,136.8,171.0,250.8,410.4,Monday,Friday,00:00:00,10:00:00
53,1001402,1001420,142.5,136.8,205.2,256.5,376.2,615.6,Thuesday,Saturday,10:00:00,18:00:00
53,1001402,1001420,142.5,91.2,136.8,171.0,250.8,410.4,Wednesday,Sunday,18:00:00,23:59:59
53,1001402,1001420,142.5,79.8,119.7,149.62,219.45,359.1,Saturday,Sunday,00:00:00,23:59:59
54,1001402,1001422,152.1,97.34,146.02,182.52,267.7,438.05,Monday,Friday,00:00:00,10:00:00
54,1001402,1001422,152.1,146.02,219.02,273.78,401.54,657.07,Thuesday,Saturday,10:00:00,18:00:00
54,1001402,1001422,152.1,97.34,146.02,182.52,267.7,438.05,Wednesday,Sunday,18:00:00,23:59:59
54,1001402,1001422,152.1,85.18,127.76,159.7,234.23,383.29,Saturday,Sunday,00:00:00,23:59:59
55,1001402,1001424,163.5,104.64,156.96,196.2,287.76,470.88,Monday,Friday,00:00:00,10:00:00
55,1001402,1001424,163.5,156.96,235.44,294.3,431.64,706.32,Thuesday,Saturday,10:00:00,18:00:00
55,1001402,1001424,163.5,104.64,156.96,196.2,287.76,470.88,Wednesday,Sunday,18:00:00,23:59:59
55,1001402,1001424,163.5,91.56,137.34,171.67,251.79,412.02,Saturday,Sunday,00:00:00,23:59:59
56,1001402,1001426,182.1,116.54,174.82,218.52,320.5,524.45,Monday,Friday,00:00:00,10:00:00
56,1001402,1001426,182.1,174.82,262.22,327.78,480.74,786.67,Thuesday,Saturday,10:00:00,18:00:00
56,1001402,1001426,182.1,116.54,174.82,218.52,320.5,524.45,Wednesday,Sunday,18:00:00,23:59:59
56,1001402,1001426,182.1,101.98,152.96,191.2,280.43,458.89,Saturday,Sunday,00:00:00,23:59:59
57,1001402,1001428,197.9,126.66,189.98,237.48,348.3,569.95,Monday,Friday,00:00:00,10:00:00
57,1001402,1001428,197.9,189.98,284.98,356.22,522.46,854.93,Thuesday,Saturday,10:00:00,18:00:00
57,1001402,1001428,197.9,126.66,189.98,237.48,348.3,569.95,Wednesday,Sunday,18:00:00,23:59:59
57,1001402,1001428,197.9,110.82,166.24,207.8,304.77,498.71,Saturday,Sunday,00:00:00,23:59:59
58,1001402,1001430,206.5,132.16,198.24,247.8,363.44,594.72,Monday,Friday,00:00:00,10:00:00
58,1001402,1001430,206.5,198.24,297.36,371.7,545.16,892.08,Thuesday,Saturday,10:00:00,18:00:00
58,1001402,1001430,206.5,132.16,198.24,247.8,363.44,594.72,Wednesday,Sunday,18:00:00,23:59:59
58,1001402,1001430,206.5,115.64,173.46,216.82,318.01,520.38,Saturday,Sunday,00:00:00,23:59:59
59,1001402,1001432,215.5,137.92,206.88,258.6,379.28,620.64,Monday,Friday,00:00:00,10:00:00
59,1001402,1001432,215.5,206.88,310.32,387.9,568.92,930.96,Thuesday,Saturday,10:00:00,18:00:00
59,1001402,1001432,215.5,137.92,206.88,258.6,379.28,620.64,Wednesday,Sunday,18:00:00,23:59:59
59,1001402,1001432,215.5,120.68,181.02,226.27,331.87,543.06,Saturday,Sunday,00:00:00,23:59:59
60,1001402,1001434,223.4,142.98,214.46,268.08,393.18,643.39,Monday,Friday,00:00:00,10:00:00
60,1001402,1001434,223.4,214.46,321.7,402.12,589.78,965.09,Thuesday,Saturday,10:00:00,18:00:00
